"","x"
"1","FBgn0263871"
"2","FBgn0267827"
"3","FBgn0267993"
"4","FBgn0265825"
"5","FBgn0266797"
"6","FBgn0266799"
"7","FBgn0031301"
"8","FBgn0266885"
"9","FBgn0262944"
"10","FBgn0031331"
"11","FBgn0266358"
"12","FBgn0263320"
"13","FBgn0031364"
"14","FBgn0041249"
"15","FBgn0051933"
"16","FBgn0040719"
"17","FBgn0053673"
"18","FBgn0265818"
"19","FBgn0031430"
"20","FBgn0267738"
"21","FBgn0264943"
"22","FBgn0031431"
"23","FBgn0266024"
"24","FBgn0031440"
"25","FBgn0284414"
"26","FBgn0284413"
"27","FBgn0264434"
"28","FBgn0031441"
"29","FBgn0264433"
"30","FBgn0031442"
"31","FBgn0026395"
"32","FBgn0031465"
"33","FBgn0265677"
"34","FBgn0031513"
"35","FBgn0266027"
"36","FBgn0051776"
"37","FBgn0031550"
"38","FBgn0265367"
"39","FBgn0265368"
"40","FBgn0264363"
"41","FBgn0264371"
"42","FBgn0051960"
"43","FBgn0051958"
"44","FBgn0266318"
"45","FBgn0031592"
"46","FBgn0265911"
"47","FBgn0031596"
"48","FBgn0031622"
"49","FBgn0031644"
"50","FBgn0083960"
"51","FBgn0264372"
"52","FBgn0266843"
"53","FBgn0031715"
"54","FBgn0031721"
"55","FBgn0266031"
"56","FBgn0262321"
"57","FBgn0031729"
"58","FBgn0266066"
"59","FBgn0266067"
"60","FBgn0031731"
"61","FBgn0266065"
"62","FBgn0261683"
"63","FBgn0261697"
"64","FBgn0031785"
"65","FBgn0266003"
"66","FBgn0266004"
"67","FBgn0031829"
"68","FBgn0031844"
"69","FBgn0031856"
"70","FBgn0263585"
"71","FBgn0262616"
"72","FBgn0265414"
"73","FBgn0265822"
"74","FBgn0267732"
"75","FBgn0267689"
"76","FBgn0262546"
"77","FBgn0031954"
"78","FBgn0262029"
"79","FBgn0264340"
"80","FBgn0266798"
"81","FBgn0052986"
"82","FBgn0052987"
"83","FBgn0052988"
"84","FBgn0052983"
"85","FBgn0265588"
"86","FBgn0265452"
"87","FBgn0265676"
"88","FBgn0032110"
"89","FBgn0085210"
"90","FBgn0014179"
"91","FBgn0263612"
"92","FBgn0032163"
"93","FBgn0032175"
"94","FBgn0032176"
"95","FBgn0053302"
"96","FBgn0265791"
"97","FBgn0267256"
"98","FBgn0267254"
"99","FBgn0265792"
"100","FBgn0260453"
"101","FBgn0260454"
"102","FBgn0264351"
"103","FBgn0265683"
"104","FBgn0032313"
"105","FBgn0032315"
"106","FBgn0275432"
"107","FBgn0032335"
"108","FBgn0051867"
"109","FBgn0263328"
"110","FBgn0263874"
"111","FBgn0265795"
"112","FBgn0085191"
"113","FBgn0261707"
"114","FBgn0265687"
"115","FBgn0265688"
"116","FBgn0032375"
"117","FBgn0265801"
"118","FBgn0032434"
"119","FBgn0032439"
"120","FBgn0032457"
"121","FBgn0028410"
